"","Date","Close.Last","Volume","Open","High","Low"
"244",2022-04-13,11.6507,36748760,11.0345,11.6821,10.651
"245",2022-04-12,10.9528,42073100,11.8707,11.9525,10.8144
"246",2022-04-11,11.7701,37554600,11.3363,11.8299,11.1414
"247",2022-04-08,11.4683,42674680,12.3863,12.3863,11.3992
"248",2022-04-07,12.4052,53370520,12.971,13.1659,11.7104
"249",2022-04-06,12.8201,52212220,12.9836,13.7814,12.5814
"250",2022-04-05,13.3357,41624070,14.5743,15.0647,13.2037
"251",2022-04-04,14.6561,51536250,14.763,14.9327,13.7947
"252",2022-04-01,14.6498,65735710,15.8004,15.8947,14.0462
"253",2022-03-31,15.4923,89238970,15.574,16.2971,14.6246
"254",2022-03-30,16.1462,95384220,17.957,18.3757,15.9387
"255",2022-03-29,18.5103,212293100,18.8812,21.5848,16.6052
"256",2022-03-28,18.4411,226704100,12.9585,18.6926,12.9082
"257",2022-03-25,12.7258,71814740,12.5435,13.6438,12.3926
"258",2022-03-24,12.7195,68471680,12.6064,12.9333,11.8581
"259",2022-03-23,13.0402,170142600,11.789,14.0525,11.4306
"260",2022-03-22,11.4809,81798910,9.9845,11.8896,9.9034
"261",2022-03-21,9.9719,34256730,9.865,10.4057,9.6041
"262",2022-03-18,9.9342,31992090,9.4186,9.9971,9.4123
"263",2022-03-17,9.5506,24130430,9.3746,9.8147,9.3432
"264",2022-03-16,9.5758,39104460,9.1231,9.865,8.9471
"265",2022-03-15,9.1042,40853150,8.6515,9.2373,8.2806
"266",2022-03-14,8.5258,32959760,8.8339,8.8999,8.1108
"267",2022-03-11,8.9911,29202850,9.6261,9.6827,8.9691
"268",2022-03-10,9.6324,25666510,9.8273,9.9405,9.2929
"269",2022-03-09,9.8776,25206370,9.8839,10.2297,9.6984
"270",2022-03-08,9.6764,35370430,9.5255,10.2234,9.0414
"271",2022-03-07,9.5632,39507300,10.6321,10.7516,9.368
"272",2022-03-04,10.4183,39628150,11.3489,11.5186,10.28
